,rocket,success,flight_number,date_utc,flight,gridfins,legs,reused_x,landing_attempt,landing_success,landing_type,landpad,launchpad_name,launch_latitude,launch_longitude,launch_attempts,launch_successes,block,reuse_count,rtls_attempts,rtls_landings,asds_attempts,asds_landings,serial,PayloadType,PayloadMass,mass_lbs,orbit,landpad_name,landpad_type,landpad_latitude,landpad_longitude,landing_attempts,landing_successes
121,Falcon 9,,172,2022-07-11T01:39:00.000Z,6,True,True,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,VAFB SLC 4E,34.632093,-120.610829,28,27,5.0,6,1,1,6,6,B1063,Satellite,13260.0,29233.0,VLEO,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
122,Falcon 9,True,182,2022-08-31T05:40:00.000Z,7,True,True,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,VAFB SLC 4E,34.632093,-120.610829,28,27,5.0,6,1,1,6,6,B1063,Satellite,13260.0,29233.0,VLEO,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
123,Falcon 9,True,130,2021-06-06T04:26:00.000Z,3,True,True,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,9,1,1,9,9,B1061,Satellite,7000.0,15432.36,GTO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
124,Falcon 9,True,155,2022-04-01T16:24:00.000Z,7,True,True,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,9,1,1,9,9,B1061,Satellite,,,SSO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
125,Falcon 9,True,165,2022-05-25T18:27:00.000Z,8,True,True,True,True,True,RTLS,5e9e3032383ecb267a34e7c7,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,9,1,1,9,9,B1061,Satellite,,,SSO,LZ-1,RTLS,28.485833,-80.544444,21.0,20.0
126,Falcon 9,True,169,2022-06-19T04:27:00.000Z,9,True,True,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,9,1,1,9,9,B1061,Satellite,700.0,1543.236,LEO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
127,Falcon 9,True,179,2022-08-12T21:30:00.000Z,10,True,True,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,VAFB SLC 4E,34.632093,-120.610829,28,27,5.0,9,1,1,9,9,B1061,Satellite,13260.0,29233.0,VLEO,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
128,Falcon 9,True,107,2020-11-16T00:27:00.000Z,1,True,True,False,True,True,ASDS,5e9e3033383ecbb9e534e7cc,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,9,1,1,9,9,B1061,Crew Dragon,,,ISS,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
129,Falcon 9,True,123,2021-04-23T09:49:00.000Z,2,True,True,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,9,1,1,9,9,B1061,Crew Dragon,,,ISS,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
130,Falcon 9,True,133,2021-08-29T07:14:00.000Z,4,True,True,True,True,True,ASDS,5e9e3033383ecb075134e7cd,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,9,1,1,9,9,B1061,Dragon 2.0,,,ISS,ASOG,ASDS,33.7291858,-118.262015,21.0,21.0
131,Falcon 9,True,140,2021-12-09T06:00:00.000Z,5,True,True,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,9,1,1,9,9,B1061,Satellite,330.0,730.0,LEO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
132,Falcon 9,True,149,2022-02-03T18:13:00.000Z,6,True,True,True,True,True,ASDS,5e9e3033383ecb075134e7cd,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,9,1,1,9,9,B1061,Satellite,13260.0,29233.0,VLEO,ASOG,ASDS,33.7291858,-118.262015,21.0,21.0
133,Falcon 9,True,142,2021-12-19T03:58:00.000Z,3,True,True,True,True,True,ASDS,5e9e3033383ecb075134e7cd,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,5,0,0,6,6,B1067,Satellite,3500.0,7716.2,GTO,ASOG,ASDS,33.7291858,-118.262015,21.0,21.0
134,Falcon 9,True,185,2022-09-17T01:05:00.000Z,6,True,True,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,5,0,0,6,6,B1067,Satellite,13260.0,29233.0,VLEO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
